rxnID,rxnEQ,cTrans,rates,type,basis,deviation
1,glc_DS_b = glc_D_e,abcdef = abcdef,,F,,
2,glc_DU_b = glc_D_e,abcdef = abcdef,,F,,
3,glc_D_e = glc_D_c,abcdef = abcdef,,F,8.3,1.2
4,pep_c + glc_D_c = g6p_c + pyr_c,abc + defghi = defghi + abc,,F,,
5,glc_D_c = g6p_c,abcdef = abcdef,,F,,
6,g6p_c = f6p_c,abcdef = abcdef,,FR,,
7,f6p_c = g6p_c,abcdef = abcdef,,R,X,
8,f6p_c = fdp_c,abcdef = abcdef ,,FR,,
9,fdp_c = f6p_c,abcdef = abcdef,,R,X,
10,fdp_c = dhap_c + g3p_c,abcdef = abc + def,,FR,,
11,dhap_c + g3p_c = fdp_c,abc + def = abcdef,,R,X,
12,dhap_c = g3p_c,abc = cba,,FR,,
13,g3p_c = dhap_c,cba = abc,,R,X,
14,g3p_c = 13dpg_c,abc = abc,,FR,,
15,13dpg_c = g3p_c,abc = abc,,R,X,
16,13dpg_c = 3pg_c,abc = abc,,FR,,
17,3pg_c = 13dpg_c,abc = abc,,R,X,
18,3pg_c = pep_c,abc = abc,,FR,,
19,pep_c = 3pg_c,abc = abc,,R,X,
20,pep_c = pyr_c,abc = abc,,F,,
21,g6p_c = 6pgc_c,abcdef = abcdef ,,F,,
22,6pgc_c = 2ddg6p_c,abcdef = abcdef,,F,,
23,2ddg6p_c = g3p_c + pyr_c,abcdef = def + abc,,F,,
24,6pgc_c = co2_c + ru5p_D_c,abcdef = a + bcdef,,F,,
25,ru5p_D_c = xu5p_D_c,abcde = abcde,,FR,,
26,xu5p_D_c = ru5p_D_c,abcde = abcde,,R,X,
27,ru5p_D_c = r5p_c,abcde = abcde,,FR,,
28,r5p_c = ru5p_D_c,abcde = abcde,,R,X,
29,xu5p_D_c = c2 + g3p_c,abcde = ab + cde,,FR,,
30,c2 + g3p_c = xu5p_D_c,ab + cde= abcde,,R,X,
31,f6p_c = c2 + e4p_c,abcdef = ab + cdef,,FR,,
32,c2 + e4p_c = f6p_c,ab + cdef= abcdef,,R,X,
33,s7p_c = c2 + r5p_c,abcdefg = ab + cdefg,,FR,,
34,c2 + r5p_c = s7p_c,ab + cdefg= abcdefg,,R,X,
35,f6p_c = c3 + g3p_c,abcdef = abc + def,,FR,,
36,c3 + g3p_c = f6p_c,abc + def = abcdef,,R,X,
37,s7p_c = c3 + e4p_c,abcdefg = abc + defg,,FR,,
38,c3 + e4p_c = s7p_c,abc + defg = abcdefg,,R,X,
39,r5p_c = prpp_c,abcde = abcde,,F,,
40,pyr_c = accoa_c + co2_c ,abc = bc + a,,F,,
41,accoa_c + oaa_c = cit_c,ab + cdef = fedbac,,F,,
42,cit_c = icit_c,abcdef = abcdef,,F,,
43,icit_c = akg_c + co2_c,abcdef = abcde + f,,F,,
44,akg_c = co2_c + succoa_c,abcde = a + bcde,,F,,
45,succoa_c = succ_c,abcd = abcd,,FR,,
46,succ_c = succoa_c,abcd = abcd,,R,X,
47,succ_c = 0.5 fum + 0.5 fum,abcd = 0.5 abcd + 0.5 dcba,,FR,,
48,fum = 0.5 succ_c + 0.5 succ_c,abcd = 0.5 abcd + 0.5 dcba,,R,X,
49,fum = mal_L_c,abcd = abcd,,FR,,
50,mal_L_c = 0.5 fum + 0.5 fum,abcd = 0.5 abcd + 0.5 dcba,,R,X,
51,mal_L_c = oaa_c,abcd = abcd,,FR,,
52,oaa_c = mal_L_c,abcd = abcd,,R,X,
53,icit_c = glx_c + 0.5 succ_c + 0.5 succ_c,abcdef = ab + 0.5 cdef + 0.5 fedc,,F,,
54,accoa_c + glx_c = mal_L_c,ab + cd = cdba,,F,,
55,mal_L_c = co2_c + pyr_c,abcd = d + abc,,F,,
56,oaa_c = co2_c + pep_c,abcd = d + abc,,F,,
57,co2_c + pep_c = oaa_c,d + abc = abcd,,F,,
58,akg_c = glu_L_c,abcde = abcde,,FR,,
59,glu_L_c = akg_c,abcde = abcde ,,R,X,
60,glu_L_c + oaa_c = akg_c + asp_L_c,abcde + fghi = abcde + fghi,,FR,,
61,akg_c + asp_L_c = glu_L_c + oaa_c,abcde + fghi = abcde + fghi,,R,X,
62,glu_L_c + pyr_c = akg_c + ala_L_c,abcde + fgh = abcde + fgh,,FR,,
63,akg_c + ala_L_c = glu_L_c + pyr_c,abcde + fgh = abcde + fgh,,R,X,
64,glu_L_c = gln_L_c,abcde = abcde,,F,,
65,accoa_c = actp_c,ab = ab,,FR,,
66,actp_c = accoa_c,ab = ab,,R,X,
67,actp_c = ac_c,ab = ab,,FR,,
68,ac_c = actp_c,ab = ab,,R,X,
69,accoa_c = acald_c,ab = ab,,FR,,
70,acald_c = accoa_c,ab = ab,,R,X,
71,ac_c = ac_ex,ab = ab,,F,2.2,1
72,acald_c = ac_c,ab = ab,,F,,
73,mlthf_c = methf_c ,a = a,,F,,
74,methf_c = 10fthf_c,a = a,,F,,
75,mlthf_c = 5mthf_c ,a = a,,F,,
76,3pg_c + glu_L_c = akg_c + pser_L_c,abc + defgh = defgh + abc,,F,,
77,pser_L_c = ser_L_c,abc = abc,,F,,
78,ser_L_c = gly_c + mlthf_c,abc = ab + c,,FR,,
79,gly_c + mlthf_c = ser_L_c,ab + c = abc,,R,X,
80,gly_c = co2_c + mlthf_c,ab = a + b,,F,,
81,pyr_c + pyr_c = alac_S_c + co2_c,abc + def = abcef + d,,F,,
82,alac_S_c = 3mob_c,abcde = abdce,,F,,
83,3mob_c + glu_L_c = akg_c + val_L_c,abcde + fghij = fghij + abcde,,F,,
84,3mob_c + accoa_c = 3c3hmp_c,abcde + fg = abfgcde,,F,,
85,3c3hmp_c = 2ippc,abcdefg = abcdefg,,F,,
86,2ippc = 3c2hmp_c,abcdefg = abcdefg,,F,,
87,3c2hmp_c = 3c4mop_c,abcdefg = abcdefg,,F,,
88,3c4mop_c = 4mop_c + co2_c,abcdefg = bcdefg + a,,F,,
89,4mop_c + glu_L_c = akg_c + leu_L_c,abcdef + ghijk = ghijk + abcdef,,F,,
90,thr_L_c = 2obut_c,abcd = abcd,,F,,
91,2obut_c + pyr_c = 2ahbut_c + co2_c,abcd + efg = abcdfg + e,,F,,
92,2ahbut_c = 23dhmp_c,abcdef = abecdf,,F,,
93,23dhmp_c = 3mop_c,abcdef = abcdef,,F,,
94,3mop_c + glu_L_c = akg_c + ile_L_c,fghijk + abcde = abcde + fghijk,,F,,
95,e4p_c + pep_c = 2dda7p_c,abcd + efg = efgabcd,,F,,
96,2dda7p_c = 3dhq_c,abcdefg = bcdefga,,F,,
97,3dhq_c = skm5p_c,abcdefg = abcdefg,,F,,
98,pep_c + skm5p_c = 3psme_c,hij + abcdefg = abcdefhijg,,F,,
99,3psme_c = chor_c,abcdefghij = abcdefghij,,F,,
100,chor_c = pphn_c,abcdefghij = abcdefghij,,F,,
101,pphn_c = co2_c + phpyr_c,abcdefghij = j + ghiabcdef,,F,,
102,glu_L_c + phpyr_c = akg_c + phe_L_c,abcde + fghijklmn = abcde + fghijklmn,,F,,
103,pphn_c = 34hpp_c + co2_c,abcdefghij = ghiabcdef + j,,F,,
104,34hpp_c + glu_L_c = akg_c + tyr_L_c,fghijklmn + abcde = abcde + fghijklmn,,F,,
105,chor_c + gln_L_c = anth_c + glu_L_c + pyr_c,abcdefghij + klmno = abcdefj + klmno + ghi,,F,,
106,anth_c + prpp_c = pran_c,abcdefg + hijkl = abcdefghijkl,,F,,
107,pran_c = 2cpr5p_c,abcdefghijkl = hijklbafedcg,,F,,
108,2cpr5p_c = 3ig3p_c + co2_c,abcdefghijkl = edcabghijkf + l,,F,,
109,3ig3p_c = g3p_c + indole_c,abcdefghijk = cba + defghijk,,F,,
110,indole_c + ser_L_c = trp_L_c,defghijk + abc = abcdefghijk,,F,,
111,accoa_c + ser_L_c = acser_c,ab + cde = cdeab,,F,,
112,acser_c = ac_c + cys_L_c ,abcde = de + abc,,F,,
113,hoL_c + succoa_c = suchms_c,abcd + efgh = abcdefgh,,F,,
114,cys_L_c + suchms_c = cyst_L_c + 0.5 succ_c + 0.5 succ_c,ijk + abcdefgh = abcdkji + 0.5 efgh + 0.5 hgfe,,F,,
115,cyst_L_c = hcys_L_c + pyr_c,abcdefg = abcd + gfe,,F,,
116,5mthf_c + hcys_L_c = met_L_c,e + abcd = abcde,,F,,
117,asp_L_c = aspsa_c,abcd = abcd,,F,,
118,aspsa_c + pyr_c = 23dhdp_c,abcd + efg = abcdgfe,,F,,
119,23dhdp_c = thdp_c,abcdefg = abcdefg,,F,,
120,succoa_c + thdp_c = sl2a6o_c,hijk + abcdefg = abcdefghijk,,F,,
121,glu_L_c + sl2a6o_c = akg_c + sl26da_c,lmnop + abcdefghijk = lmnop + abcdefghijk,,F,,
122,sl26da_c = 26dap_LL_c + 0.5 succ_c + 0.5 succ_c,abcdefghijk = abcdefg + 0.5 hijk + 0.5 kjih,,F,,
123,26dap_LL_c = 0.5 26dap_c + 0.5 26dap_c,abcdefg = 0.5 abcdefg + 0.5 gfedcba,,F,,
124,26dap_c = co2_c + lys_L_c,abcdefg = g + abcdef,,F,,
125,glu_L_c = pro_L_c,abcde = abcde,,F,,
126,accoa_c + glu_L_c = acglu_c,ab + cdefg = cdefgab,,F,,
127,acglu_c = acg5p_c,abcdefg = abcdefg,,F,,
128,acg5p_c = acg5sa_c,abcdefg = abcdefg,,F,,
129,acg5sa_c + glu_L_c = acorn_c + akg_c,abcdefg + hijkl = abcdefg + hijkl,,F,,
130,acorn_c = ac_c + orn_c,abcdefg = fg + abcde,,F,,
131,co2_c + glu_L_c = cbp_c + gln_L_c,a + bcdef = a + bcdef,,F,,
132,cbp_c + orn_c = citr_L_c,f + abcde = abcdef,,F,,
133,asp_L_c + citr_L_c = argsuc_c,abcd + efghij = efghijabcd,,F,,
134,argsuc_c = arg_L_c + 0.5 fum + 0.5 fum,abcdefghij = abcdef + 0.5 ghij + 0.5 jihg,,F,,
135,aspsa_c = hoL_c,abcd = abcd,,F,,
136,hoL_c = thr_L_c,abcd = abcd,,F,,
137,thr_L_c = acald_c + gly_c,abcd = cd + ab,,F,,
138,asp_L_c = asn_L_c,abcd = abcd,,F,,
139,atp_c + prpp_c = prbatp_c + aicar_c,f + abcde = abcdef + X,,F,,
140,prbatp_c = prlp_c,abcdef = abcdef,,F,,
141,gln_L_c + prlp_c = eig3p_c + glu_L_c,abcde + fghijk = fghijk + abcde,,F,,
142,eig3p_c = imacp_c,abcdef = abcdef,,F,,
143,glu_L_c + imacp_c = akg_c + hisp_c,abcde + fghijk = abcde + fghijk,,F,,
144,hisp_c = his_L_c,abcdef = abcdef,,F,,
145,co2_c = co2_ex,a = a,,F,14.6,1
146,co2_nat + co2_c = co2_c + co2_nat,a + b = a + b,,S,,
147,asp_L_c + cbp_c = orot_c,abcd + e = abcde,,F,,
148,orot_c = utp_c + co2_c,abcde = bcde + a,,F,,
149,utp_c + gln_L_c = ctp_c + glu_L_c,X + abcde = X + abcde,,F,,
150,asp_L_c + imp = dcamp_c,abcd + e = abcde,,F,,
151,dcamp_c = atp_c + 0.5 fum + 0.5 fum,abcde = e + 0.5 abcd + 0.5 dcba,,F,,
152,gln_L_c + imp = glu_L_c + gtp_c,abcde + X = abcde + X ,,F,,
153,utp_c + mlthf_c = ttp_c,,,B,,
154,gln_L_c + prpp_c = glu_L_c + pram_c,abcde + X = abcde + X,,F,,
155,pram_c + gly_c = gar_c,,,B,,
156,gar_c + 10fthf_c = fgam_c,,,B,,
157,fgam_c + gln_L_c = fpram_c + glu_L_c,X + abcde = X + abcde,,F,,
158,fpram_c + co2_c = 5caiz_c,,,B,,
159,5caiz_c + asp_L_c = 25aics_c,X + abcd = abcd,,F,,
160,25aics_c = aicar_c + 0.5 fum + 0.5 fum,abcd = X + 0.5 abcd + 0.5 dcba,,F,,
161,aicar_c + 10fthf_c = imp,X + a = a,,F,,
