measurements,error
0.760141404,0.00235601
0.048976774,0.000773826
0.022310951,0.000474017
0.168570871,0.002003306
0.402501074,0.004027781
0.23335301,0.009002918
0.208990155,0.003787433
0.105724981,0.002508915
0.035014137,0.001744029
0.012815172,0.001066284
0.001601472,0.000530875
0.615644929,0.060810919
0.152894394,0.042194261
0.112731217,0.031182047
0.094106725,0.009530229
0.024622735,0.006535027
0.777404839,0.003372285
0.051701078,0.000828673
0.170894084,0.002844987
0.511890552,0.009440555
0.178403733,0.004769154
0.104482922,0.005351154
0.109611055,0.00487603
0.032308152,0.001351089
0.051840161,0.002940921
0.011463426,0.002560209
0.472243328,0.002393092
0.145998957,0.000796139
0.207403004,0.001428183
0.106216241,0.000921562
0.04531417,0.000457777
0.018046636,0.000221696
0.004777663,0.000229283
0.435381399,0.00318339
0.187044579,0.002970958
0.161468045,0.002355095
0.135606422,0.001994934
0.049386106,0.001887819
0.022900479,0.001503059
0.00821297,0.000553454
0.460283355,0.002575171
0.237925029,0.001658899
0.144330404,0.001395876
0.104832995,0.00113503
0.043171846,0.000544954
0.00945637,0.000303617
0.424293638,0.001872353
0.103756111,0.000681862
0.119270916,0.000867014
0.165338187,0.001137558
0.090456321,0.000941772
0.042074083,0.000377403
0.031610894,0.000851659
0.016716413,0.000539916
0.003271912,0.000171058
0.003211526,0.000134085
0.511894718,0.005168468
0.154712337,0.001035429
0.217098084,0.002398451
0.079575789,0.001566383
0.026049666,0.001205722
0.010669406,0.000651636
0.727360967,0.011686999
0.086745134,0.0025403
0.057635606,0.00277902
0.128258293,0.006481463
0.597706392,0.003324016
0.164161754,0.0012658
0.119419108,0.001196968
0.092436787,0.001116484
0.026275959,0.000305057
0.420964816,0.004397674
0.103457418,0.000643589
0.123092876,0.001191836
0.164811455,0.002292872
0.089846446,0.000979644
0.043288809,0.000866943
0.031705691,0.000665642
0.016045568,0.000421664
0.003434536,0.000209703
0.003352385,0.000155696
0.602225728,0.00200459
0.059106665,0.000699017
0.155620576,0.000899046
0.14226385,0.001165258
0.00994367,0.000137145
0.030839512,0.000510136
