RxnID,rxnEq,rxnCTrans,rates,rxnType,basis,deviation
1,glc_DS_b = glc_D_e,abcdef = abcdef,,F,
2,glc_DU_b = glc_D_e,abcdef = abcdef,,F,
3,glc_D_e = glc_D_c,abcdef = abcdef,,F,8,3
4,pep_c + glc_D_c = g6p_c + pyr_c,abc + defghi = defghi + abc,,F,
5,glc_D_c = g6p_c,abcdef = abcdef,,F,
6,g6p_c = f6p_c,abcdef = abcdef,,FR,
7,f6p_c = g6p_c,abcdef = abcdef,,R,X
8,f6p_c = fdp_c,abcdef = abcdef ,,FR,
9,fdp_c = f6p_c,abcdef = abcdef,,R,X
10,fdp_c = dhap_c + g3p_c,abcdef = abc + def,,FR,
11,dhap_c + g3p_c = fdp_c,abc + def = abcdef,,R,X
12,dhap_c = g3p_c,abc = cba,,FR,
13,g3p_c = dhap_c,cba = abc,,R,X
14,g3p_c = 13dpg_c,abc = abc,,FR,
15,13dpg_c = g3p_c,abc = abc,,R,X
16,13dpg_c = 3pg_c,abc = abc,,FR,
17,3pg_c = 13dpg_c,abc = abc,,R,X
18,3pg_c = pep_c,abc = abc,,FR,
19,pep_c = 3pg_c,abc = abc,,R,X
20,pep_c = pyr_c,abc = abc,,F,
21,g6p_c = 6pgc_c,abcdef = abcdef ,,F,
23,6pgc_c = 2ddg6p_c,abcdef = abcdef,,F,
24,2ddg6p_c = g3p_c + pyr_c,abcdef = def + abc,,F,
25,6pgc_c = co2_c + ru5p_D_c,abcdef = a + bcdef,,F,
26,ru5p_D_c = xu5p_D_c,abcde = abcde,,FR,
27,xu5p_D_c = ru5p_D_c,abcde = abcde,,R,X
28,ru5p_D_c = r5p_c,abcde = abcde,,FR,
29,r5p_c = ru5p_D_c,abcde = abcde,,R,X
30,xu5p_D_c = c2 + g3p_c,abcde = ab + cde,,FR,
31,c2 + g3p_c = xu5p_D_c,ab + cde= abcde,,R,X
32,f6p_c = c2 + e4p_c,abcdef = ab + cdef,,FR,
33,c2 + e4p_c = f6p_c,ab + cdef= abcdef,,R,X
34,s7p_c = c2 + r5p_c,abcdefg = ab + cdefg,,FR,
35,c2 + r5p_c = s7p_c,ab + cdefg= abcdefg,,R,X
36,f6p_c = c3 + g3p_c,abcdef = abc + def,,FR,
37,c3 + g3p_c = f6p_c,abc + def = abcdef,,R,X
38,s7p_c = c3 + e4p_c,abcdefg = abc + defg,,FR,
39,c3 + e4p_c = s7p_c,abc + defg = abcdefg,,R,X
40,r5p_c = prpp_c,abcde = abcde,,F,
41,pyr_c = accoa_c + co2_c ,abc = bc + a,,F,
42,accoa_c + oaa_c = cit_c,ab + cdef = fedbac,,F,
43,cit_c = icit_c,abcdef = abcdef,,F,
45,icit_c = akg_c + co2_c,abcdef = abcde + f,,F,
46,akg_c = co2_c + succoa_c,abcde = a + bcde,,F,
47,succoa_c = succ_c,abcd = abcd,,FR,
48,succ_c = succoa_c,abcd = abcd,,R,X
49,succ_c = 0.5 fum + 0.5 fum,abcd = 0.5 abcd + 0.5 dcba,,FR,
50,fum = 0.5 succ_c + 0.5 succ_c,abcd = 0.5 abcd + 0.5 dcba,,R,X
51,fum = mal_L_c,abcd = abcd,,FR,
52,mal_L_c = 0.5 fum + 0.5 fum,abcd = 0.5 abcd + 0.5 dcba,,R,X
53,mal_L_c = oaa_c,abcd = abcd,,FR,
54,oaa_c = mal_L_c,abcd = abcd,,R,X
55,icit_c = glx_c + 0.5 succ_c + 0.5 succ_c,abcdef = ab + 0.5 cdef + 0.5 fedc,,F,
56,accoa_c + glx_c = mal_L_c,ab + cd = cdba,,F,
57,mal_L_c = co2_c + pyr_c,abcd = d + abc,,F,
58,oaa_c = co2_c + pep_c,abcd = d + abc,,F,
59,co2_c + pep_c = oaa_c,d + abc = abcd,,F,
60,akg_c = glu_L_c,abcde = abcde,,FR,
61,glu_L_c = akg_c,abcde = abcde ,,R,X
62,glu_L_c + oaa_c = akg_c + asp_L_c,abcde + fghi = abcde + fghi,,FR,
63,akg_c + asp_L_c = glu_L_c + oaa_c,abcde + fghi = abcde + fghi,,R,X
64,glu_L_c + pyr_c = akg_c + ala_L_c,abcde + fgh = abcde + fgh,,FR,
65,akg_c + ala_L_c = glu_L_c + pyr_c,abcde + fgh = abcde + fgh,,R,X
66,glu_L_c = gln_L_c,abcde = abcde,,F,
67,accoa_c = actp_c,ab = ab,,FR,
68,actp_c = accoa_c,ab = ab,,R,X
69,actp_c = ac_c,ab = ab,,FR,
70,ac_c = actp_c,ab = ab,,R,X
71,pyr_c = lac_L_c,abc = abc,,F,
72,accoa_c = acald_c,ab = ab,,FR,
73,acald_c = accoa_c,ab = ab,,R,X
74,ac_c = ac_ex,ab = ab,,F,2,2
75,acald_c = ac_c,ab = ab,,F,
76,mlthf_c = methf_c ,a = a,,F,
77,methf_c = 10fthf_c,a = a,,F,
78,mlthf_c = 5mthf_c ,a = a,,F,
79,3pg_c + glu_L_c = akg_c + pser_L_c,abc + defgh = defgh + abc,,F,
80,pser_L_c = ser_L_c,abc = abc,,F,
81,ser_L_c = gly_c + mlthf_c,abc = ab + c,,FR,
82,gly_c + mlthf_c = ser_L_c,ab + c = abc,,R,X
83,gly_c = co2_c + mlthf_c,ab = a + b,,F,
84,pyr_c + pyr_c = alac_S_c + co2_c,abc + def = abcef + d,,F,
85,alac_S_c = 3mob_c,abcde = abdce,,F,
87,3mob_c + glu_L_c = akg_c + val_L_c,abcde + fghij = fghij + abcde,,F,
88,3mob_c + accoa_c = 3c3hmp_c,abcde + fg = abfgcde,,F,
89,3c3hmp_c = 2ippc,abcdefg = abcdefg,,F,
90,2ippc = 3c2hmp_c,abcdefg = abcdefg,,F,
91,3c2hmp_c = 3c4mop_c,abcdefg = abcdefg,,F,
92,3c4mop_c = 4mop_c + co2_c,abcdefg = bcdefg + a,,F,
93,4mop_c + glu_L_c = akg_c + leu_L_c,abcdef + ghijk = ghijk + abcdef,,F,
94,thr_L_c = 2obut_c,abcd = abcd,,F,
95,2obut_c + pyr_c = 2ahbut_c + co2_c,abcd + efg = abcdfg + e,,F,
96,2ahbut_c = 23dhmp_c,abcdef = abecdf,,F,
97,23dhmp_c = 3mop_c,abcdef = abcdef,,F,
98,3mop_c + glu_L_c = akg_c + ile_L_c,fghijk + abcde = abcde + fghijk,,F,
99,e4p_c + pep_c = 2dda7p_c,abcd + efg = efgabcd,,F,
100,2dda7p_c = 3dhq_c,abcdefg = bcdefga,,F,
101,3dhq_c = skm5p_c,abcdefg = abcdefg,,F,
104,pep_c + skm5p_c = 3psme_c,hij + abcdefg = abcdefhijg,,F,
105,3psme_c = chor_c,abcdefghij = abcdefghij,,F,
106,chor_c = pphn_c,abcdefghij = abcdefghij,,F,
107,pphn_c = co2_c + phpyr_c,abcdefghij = j + ghiabcdef,,F,
108,glu_L_c + phpyr_c = akg_c + phe_L_c,abcde + fghijklmn = abcde + fghijklmn,,F,
109,pphn_c = 34hpp_c + co2_c,abcdefghij = ghiabcdef + j,,F,
110,34hpp_c + glu_L_c = akg_c + tyr_L_c,fghijklmn + abcde = abcde + fghijklmn,,F,
111,chor_c + gln_L_c = anth_c + glu_L_c + pyr_c,abcdefghij + klmno = abcdefj + klmno + ghi,,F,
112,anth_c + prpp_c = pran_c,abcdefg + hijkl = abcdefghijkl,,F,
113,pran_c = 2cpr5p_c,abcdefghijkl = hijklbafedcg,,F,
114,2cpr5p_c = 3ig3p_c + co2_c,abcdefghijkl = edcabghijkf + l,,F,
115,3ig3p_c = g3p_c + indole_c,abcdefghijk = cba + defghijk,,F,
116,indole_c + ser_L_c = trp_L_c,defghijk + abc = abcdefghijk,,F,
117,accoa_c + ser_L_c = acser_c,ab + cde = cdeab,,F,
118,acser_c = ac_c + cys_L_c ,abcde = de + abc,,F,
119,hoL_c + succoa_c = suchms_c,abcd + efgh = abcdefgh,,F,
120,cys_L_c + suchms_c = cyst_L_c + 0.5 succ_c + 0.5 succ_c,ijk + abcdefgh = abcdkji + 0.5 efgh + 0.5 hgfe,,F,
121,cyst_L_c = hcys_L_c + pyr_c,abcdefg = abcd + gfe,,F,
122,5mthf_c + hcys_L_c = met_L_c,e + abcd = abcde,,F,
123,asp_L_c = aspsa_c,abcd = abcd,,F,
125,aspsa_c + pyr_c = 23dhdp_c,abcd + efg = abcdgfe,,F,
126,23dhdp_c = thdp_c,abcdefg = abcdefg,,F,
127,succoa_c + thdp_c = sl2a6o_c,hijk + abcdefg = abcdefghijk,,F,
128,glu_L_c + sl2a6o_c = akg_c + sl26da_c,lmnop + abcdefghijk = lmnop + abcdefghijk,,F,
129,sl26da_c = 26dap_LL_c + 0.5 succ_c + 0.5 succ_c,abcdefghijk = abcdefg + 0.5 hijk + 0.5 kjih,,F,
130,26dap_LL_c = 0.5 26dap_c + 0.5 26dap_c,abcdefg = 0.5 abcdefg + 0.5 gfedcba,,F,
131,26dap_c = co2_c + lys_L_c,abcdefg = g + abcdef,,F,
132,glu_L_c = pro_L_c,abcde = abcde,,F,
136,accoa_c + glu_L_c = acglu_c,ab + cdefg = cdefgab,,F,
137,acglu_c = acg5p_c,abcdefg = abcdefg,,F,
138,acg5p_c = acg5sa_c,abcdefg = abcdefg,,F,
139,acg5sa_c + glu_L_c = acorn_c + akg_c,abcdefg + hijkl = abcdefg + hijkl,,F,
140,acorn_c = ac_c + orn_c,abcdefg = fg + abcde,,F,
141,co2_c + glu_L_c = cbp_c + gln_L_c,a + bcdef = a + bcdef,,F,
142,cbp_c + orn_c = citr_L_c,f + abcde = abcdef,,F,
143,asp_L_c + citr_L_c = argsuc_c,abcd + efghij = efghijabcd,,F,
144,argsuc_c = arg_L_c + 0.5 fum + 0.5 fum,abcdefghij = abcdef + 0.5 ghij + 0.5 jihg,,F,
145,aspsa_c = hoL_c,abcd = abcd,,F,
146,hoL_c = thr_L_c,abcd = abcd,,F,
148,thr_L_c = acald_c + gly_c,abcd = cd + ab,,F,
149,asp_L_c = asn_L_c,abcd = abcd,,F,
150,atp_c + prpp_c = prbatp_c + aicar_c,f + abcde = abcdef + X,,F,
151,prbatp_c = prlp_c,abcdef = abcdef,,F,
154,gln_L_c + prlp_c = eig3p_c + glu_L_c,abcde + fghijk = fghijk + abcde,,F,
155,eig3p_c = imacp_c,abcdef = abcdef,,F,
156,glu_L_c + imacp_c = akg_c + hisp_c,abcde + fghijk = abcde + fghijk,,F,
157,hisp_c = his_L_c,abcdef = abcdef,,F,
159,co2_c = co2_ex,a = a,,F,14,6
160,co2_nat + co2_c = co2_c + co2_nat,a + b = a + b,,F,
161,asp_L_c + cbp_c = orot_c,abcd + e = abcde,,F,
162,orot_c = utp_c + co2_c,abcde = bcde + a,,F,
163,utp_c + gln_L_c = ctp_c + glu_L_c,X + abcde = X + abcde,,F,
164,asp_L_c + imp = dcamp_c,abcd + e = abcde,,F,
165,dcamp_c = atp_c + 0.5 fum + 0.5 fum,abcde = e + 0.5 abcd + 0.5 dcba,,F,
166,gln_L_c + imp = glu_L_c + gtp_c,abcde + X = abcde + X ,,F,
167,utp_c + mlthf_c = ttp_c,,,B,
168,gln_L_c + prpp_c = glu_L_c + pram_c,abcde + X = abcde + X,,F,
169,pram_c + gly_c = gar_c,,,B,
170,gar_c + 10fthf_c = fgam_c,,,B,
171,fgam_c + gln_L_c = fpram_c + glu_L_c,X + abcde = X + abcde,,F,
172,fpram_c + co2_c = 5caiz_c,,,B,
173,5caiz_c + asp_L_c = 25aics_c,X + abcd = abcd,,F,
174,25aics_c = aicar_c + 0.5 fum + 0.5 fum,abcd = X + 0.5 abcd + 0.5 dcba,,F,
175,aicar_c + 10fthf_c = imp,X + a = a,,F,
